,id,predicted_gender
0,0,female
0,1,female
0,2,female
0,3,female
0,4,female
0,5,female
0,6,female
0,7,female
0,8,female
0,9,male
0,10,female
0,11,female
0,12,female
0,14,female
0,15,female
0,16,female
0,17,female
0,18,female
0,19,female
0,20,female
0,21,female
0,22,female
0,23,female
0,24,female
0,25,female
0,26,female
0,27,female
0,28,female
0,29,female
0,30,female
0,31,male
0,32,female
0,33,female
0,34,female
0,35,female
0,37,female
0,38,female
0,39,female
0,40,female
0,41,female
0,42,female
0,43,female
0,44,female
0,45,female
0,46,female
0,47,female
0,49,female
0,50,female
0,52,female
0,53,female
0,54,female
0,55,female
0,56,female
0,57,female
0,58,female
0,59,female
0,60,female
0,61,male
0,62,female
0,63,female
0,64,female
0,65,female
0,66,female
0,67,male
0,68,female
0,69,female
0,70,female
0,71,female
0,72,female
0,74,female
0,75,female
0,76,female
0,77,female
0,78,female
0,79,female
0,80,female
0,81,female
0,82,female
0,83,female
0,84,female
0,85,female
0,86,female
0,87,female
0,89,female
0,90,female
0,92,female
0,93,female
0,94,female
0,95,female
0,96,female
0,97,female
0,98,female
0,99,female
