,id,detected
0,0,True
0,1,True
0,2,True
0,3,True
0,4,True
0,5,True
0,6,True
0,7,True
0,8,True
0,9,True
0,10,True
0,11,True
0,12,True
0,13,True
0,14,True
0,15,True
0,16,True
0,17,True
0,18,True
0,19,True
0,20,True
0,21,True
0,22,True
0,23,True
0,24,True
0,25,True
0,26,True
0,27,True
0,28,True
0,29,True
0,30,True
0,31,True
0,32,True
0,33,True
0,34,True
0,35,True
0,36,True
0,37,True
0,38,True
0,39,True
0,40,True
0,41,True
0,42,True
0,43,True
0,44,True
0,45,True
0,46,True
0,47,True
0,48,True
0,49,True
0,50,False
0,51,True
0,52,True
0,53,True
0,54,True
0,55,True
0,56,True
0,57,True
0,58,True
0,59,True
0,60,True
0,61,True
0,62,True
0,63,True
0,64,True
0,65,True
0,66,True
0,67,True
0,68,True
0,69,True
0,70,True
0,71,True
0,72,True
0,73,True
0,74,True
0,75,True
0,76,True
0,77,True
0,78,True
0,79,True
0,80,True
0,81,True
0,82,True
0,83,True
0,84,True
0,85,True
0,86,True
0,87,True
0,88,True
0,89,True
0,90,True
0,91,True
0,92,True
0,93,True
0,94,True
0,95,True
0,96,True
0,97,True
0,98,True
0,99,True
